,_id,benford_compliance.budget,benford_compliance.transaction,doc_size.avg,doc_size.max,doc_size.min,missing_data.@default-currency,missing_data.@xml:lang,missing_data.activity-date,missing_data.budget,missing_data.description,missing_data.document-link,missing_data.participating-org,missing_data.result,missing_data.title,missing_data.transaction,organization_id,records,relative_size.budget,relative_size.description,relative_size.document-link,relative_size.participating-org,relative_size.result,relative_size.title,relative_size.transaction,title_description_similarity,completeness,compliance,distance,organization_id.score,utility,grade,relative_size.other
44,57805461370d935726735faf,0.23478260869565218,0.19130434782608696,3046.1565217391303,4501,2487,0.0,0.0,0.0,0.0,0.0,0.8956521739130435,0.0,1.0,0.0,0.0,IE-CHY-6663,115,0.08937527606624601,0.0790628940832716,0.014841678297122561,0.09588567895256751,0.0,0.03929896271923135,0.10628642283460821,0.2657512541438722,81.04347826086956,100.0,91.6517194697791,IE-CHY-6663,92.9089214052193,A,0.5752490870469528
45,57805474370d935726735fb0,0.0,0.15384615384615385,19323.6,30972,14145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,NL-KVK-34200988,15,0.016268000068901493,0.6569430558346756,0.014720220933332858,0.04413788932047163,0.0,0.005040947331804592,0.025614045927450316,0.20103192601984265,88.66666666666667,75.0,78.28745701532223,NL-KVK-34200988,70.0,C,0.23727584058336348
46,57805488370d935726735fb1,0.0,0.6666666666666666,639503.6666666666,816996,426657,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,GB-COH-07676886,3,0.0,0.0007450577217107251,0.0,0.0010402160569306402,0.0007764215899873847,0.00014737484234086438,0.9943491759730433,0.3202854149650354,63.333333333333336,75.0,69.60869464636131,GB-COH-07676886,70.0,D,0.002941753815987047
47,5780549a370d935726735fb2,0.0,0.6,12554.0,22346,7669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,GB-CHC-294329,5,0.023956926011235013,0.47507979647673054,0.1001348794813551,0.144474664016691,0.0,0.008070355980605886,0.09249056287803713,0.0,90.0,75.0,85.2936105461599,GB-CHC-294329,90.0,B,0.15579281515534527
48,578054ae370d935726735fb3,0.2,0.4,35686.6,102226,17906,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,GB-COH-04154075,5,0.024418195147179664,0.03211089490821021,0.0019094946491107936,0.04979724281400954,0.0,0.006985165446479803,0.7956284098870056,0.0,82.0,100.0,82.30836328506761,GB-COH-04154075,60.0,B,0.08915059714800444
49,578054c1370d935726735fb4,0.37254901960784315,0.5918367346938775,5381.490196078431,10146,3280,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0392156862745098,NL-KvK-41198890,51,0.059703211874252544,0.2517799619402787,0.0,0.09827663869001975,0.0,0.027530980517354427,0.10998679700818711,0.0,79.6078431372549,100.0,90.2541018254679,NL-KvK-41198890,90.0,A,0.45272240996990754
50,578054d4370d935726735fb5,0.0,0.0,7216.5,7692,6741,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,US-IRS-13-5661832,2,0.03628571266571179,0.13890994892132133,0.0,0.024084663876096653,0.0,0.014491790174499726,0.5381568734044422,0.0,80.0,50.0,57.676649489605666,US-IRS-13-5661832,32.86012308316097,F,0.24807101095792827
51,578054e7370d935726735fb6,0.18181818181818182,0.2753623188405797,4229.957142857143,8614,1140,0.0,0.0,0.014285714285714285,0.6857142857142857,0.014285714285714285,0.8857142857142857,0.014285714285714285,1.0,0.014285714285714285,0.014285714285714285,GB-COH-1364201,70,0.040963987562785006,0.12785156391791408,0.02070763603908785,0.09707615936292961,0.0,0.02372397867501819,0.3217724517126213,0.17842361949719884,73.57142857142858,100.0,86.66833075268887,GB-COH-1364201,84.38864594441371,B,0.36790422272964396
52,578054fa370d935726735fb7,0.0,1.0,8591.0,12332,4874,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,GB-CHC-1112734,3,0.023948534976754244,0.05505809564711908,0.044970895933030414,0.03314325713191505,0.0,0.02059488179191693,0.4941099920506882,0.3794684907470344,83.33333333333333,75.0,71.29530246545467,GB-CHC-1112734,51.76500764490967,C,0.32817434246857613
53,5780550e370d935726735fb8,0.30434782608695654,0.4782608695652174,4566.869565217391,7540,3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,GB-COH-02394229,23,0.05548602508549855,0.0898816931987779,0.026385652648875,0.08421959261082529,0.0,0.035087093144667826,0.48393241885223814,0.19269739882013817,90.0,100.0,82.02862952369156,GB-COH-02394229,45.67371437276725,B,0.2250075244591172
